passo,acao,concat
0,0,"[0.09242,0.05457,0.04810,0.11538,0.11673]"
1500,0,"[0.48820,0.54876,0.55089,0.19079,0.19505]"
3000,0,"[0.51180,0.56645,0.60152,0.33704,0.33704]"
4500,0,"[0.49724,0.60435,0.58582,0.32996,0.33855]"
6000,0,"[0.48217,0.59070,0.61570,0.33350,0.35725]"
7500,0,"[0.50025,0.64174,0.62633,0.34413,0.31582]"
9000,0,"[0.50829,0.62759,0.66076,0.33856,0.33047]"
10500,0,"[0.50829,0.67711,0.66937,0.36589,0.34310]"
12000,0,"[0.52285,0.76503,0.74329,0.32186,0.33704]"
13500,0,"[0.49021,0.81152,0.75747,0.34565,0.35270]"
15000,0,"[0.52938,0.84740,0.86127,0.33957,0.33552]"
16500,0,"[0.49573,0.86862,0.94127,0.33047,0.34512]"
18000,0,"[0.47966,0.99242,0.98684,0.34717,0.33249]"
19500,0,"[0.52135,0.99848,0.99747,0.36083,0.33653]"
21000,0,"[0.53240,0.99848,0.99038,0.33907,0.33957]"
22500,0,"[0.53039,0.98585,0.99899,0.34261,0.35624]"
24000,0,"[0.85384,0.97676,0.97620,0.35172,0.36281]"
25500,0,"[0.96836,0.99949,0.99949,0.34059,0.37645]"
27000,0,"[0.98343,0.98787,1.00000,0.31427,0.44568]"
28500,0,"[0.96032,0.99444,0.99747,0.35678,0.58161]"
30000,0,"[0.96183,0.99646,0.99949,0.39018,0.65285]"
31500,0,"[0.93119,0.99848,1.00000,0.45597,0.66852]"
33000,0,"[0.99598,0.99646,1.00000,0.52581,0.70187]"
34500,0,"[0.98644,0.99899,0.99949,0.57034,0.71956]"
36000,0,"[0.99849,0.99747,1.00000,0.58603,0.76200]"
37500,0,"[0.99849,0.99495,0.99899,0.61994,0.80141]"
39000,0,"[0.99799,0.99697,1.00000,0.65233,0.83123]"
40500,0,"[0.98744,0.99697,0.99949,0.66043,0.83477]"
42000,0,"[0.99900,0.99596,0.99899,0.70698,0.85801]"
43500,0,"[1.00000,0.99899,0.99899,0.73381,0.84689]"
45000,0,"[0.99096,0.99848,1.00000,0.75607,0.87367]"
46500,0,"[1.00000,0.99848,0.99949,0.76923,0.88428]"
48000,0,"[0.99950,0.99747,1.00000,0.80314,0.89338]"
49500,0,"[0.99900,0.99949,0.99899,0.79099,0.88833]"
51000,0,"[0.99900,1.00000,1.00000,0.80263,0.89995]"
52500,0,"[0.99347,0.99949,1.00000,0.80921,0.90349]"
54000,0,"[0.99950,1.00000,1.00000,0.82136,0.90500]"
55500,0,"[1.00000,0.99848,0.99899,0.83198,0.90753]"
57000,0,"[0.99900,1.00000,0.99949,0.82338,0.92976]"
58500,0,"[1.00000,1.00000,0.99949,0.84109,0.90753]"
60000,0,"[1.00000,0.99798,0.99899,0.84413,0.92319]"
61500,0,"[0.99950,1.00000,0.99848,0.84717,0.92875]"
63000,0,"[0.96183,1.00000,0.99899,0.84362,0.91713]"
64500,0,"[1.00000,0.99798,0.99949,0.84767,0.93229]"
66000,0,"[0.99900,1.00000,1.00000,0.86640,0.93077]"
67500,0,"[0.99900,0.99949,1.00000,0.88006,0.93936]"
69000,0,"[0.99950,0.99848,0.99949,0.87449,0.93886]"
70500,0,"[0.99950,1.00000,0.99949,0.89119,0.94543]"
72000,0,"[0.99950,0.99899,1.00000,0.87804,0.93633]"
73500,0,"[1.00000,0.99899,0.99949,0.87702,0.94391]"
75000,0,"[0.99950,0.99848,0.99949,0.87500,0.94593]"
76500,0,"[0.99950,0.99949,0.99949,0.88917,0.94896]"
78000,0,"[0.99950,0.99899,0.99949,0.89271,0.94846]"
79500,0,"[1.00000,1.00000,0.99949,0.88765,0.95755]"
81000,0,"[0.99699,0.99899,0.99747,0.88765,0.96261]"
82500,0,"[0.99950,1.00000,0.99949,0.89524,0.96109]"
84000,0,"[1.00000,1.00000,1.00000,0.89980,0.95806]"
85500,0,"[1.00000,0.99949,1.00000,0.89777,0.96160]"
87000,0,"[1.00000,0.99949,1.00000,0.90334,0.95958]"
88500,0,"[0.99950,0.99798,0.99899,0.89879,0.95402]"
90000,0,"[0.99950,1.00000,1.00000,0.91093,0.95149]"
91500,0,"[1.00000,1.00000,0.99949,0.90891,0.96362]"
93000,0,"[1.00000,1.00000,1.00000,0.91093,0.95604]"
94500,0,"[1.00000,1.00000,1.00000,0.91802,0.95806]"
96000,0,"[1.00000,0.99798,0.99899,0.90688,0.96766]"
97500,0,"[1.00000,0.99949,1.00000,0.91296,0.96311]"
99000,0,"[0.99950,0.99848,0.99899,0.91700,0.96463]"
100500,0,"[1.00000,0.99848,0.99949,0.91700,0.96918]"
