passo,acao,concat
0,0,"[0.03537,0.00958,0.03134,0.13809,0.14480]"
1500,0,"[0.50480,0.49899,0.50961,0.27365,0.27296]"
3000,3,"[0.55331,0.67641,0.70273,0.29995,0.31231]"
4500,1,"[0.57150,0.73790,0.75126,0.33232,0.37992]"
6000,1,"[0.56038,0.74748,0.75581,0.38644,0.44046]"
7500,3,"[0.64528,0.75756,0.76188,0.36823,0.41776]"
9000,1,"[0.66549,0.77621,0.76188,0.41629,0.48587]"
10500,3,"[0.72713,0.83065,0.82609,0.44815,0.47175]"
12000,3,"[0.77514,0.87147,0.85693,0.46990,0.52018]"
13500,3,"[0.78626,0.89012,0.89333,0.48761,0.56357]"
15000,0,"[0.71046,0.87752,0.87462,0.65149,0.74369]"
16500,3,"[0.79333,0.92087,0.92619,0.64036,0.76942]"
18000,4,"[0.84437,0.96321,0.97068,0.60243,0.68214]"
19500,3,"[0.88883,0.98387,0.98787,0.64947,0.73915]"
21000,0,"[0.81203,0.96573,0.96461,0.76378,0.86176]"
22500,2,"[0.88732,0.98639,0.98736,0.75923,0.85772]"
24000,3,"[0.95503,0.99446,0.99141,0.79666,0.84511]"
25500,1,"[0.96564,0.99345,0.99191,0.80020,0.89960]"
27000,4,"[0.99040,0.99748,0.99596,0.79616,0.85621]"
28500,3,"[0.99242,0.99899,0.99747,0.81234,0.88698]"
30000,3,"[0.99848,0.99496,0.99848,0.83207,0.89506]"
31500,1,"[0.98484,0.99647,0.99646,0.89833,0.91221]"
33000,4,"[0.97726,0.99899,0.99798,0.88113,0.89808]"
34500,1,"[0.98737,0.99849,0.99697,0.92008,0.92987]"
36000,0,"[0.98686,0.99647,0.98989,0.94031,0.95610]"
37500,1,"[0.99293,0.99698,0.99747,0.96105,0.96620]"
39000,1,"[0.99090,0.99849,0.99848,0.96611,0.97982]"
40500,1,"[0.99293,0.99546,0.99747,0.96915,0.97881]"
42000,1,"[0.99899,0.99698,0.99798,0.95043,0.95863]"
43500,3,"[0.99798,0.99899,1.00000,0.95397,0.96569]"
45000,1,"[0.99646,0.99950,0.99949,0.97876,0.98789]"
46500,1,"[0.99596,0.99849,0.99697,0.98179,0.98385]"
48000,2,"[0.99697,1.00000,1.00000,0.98280,0.97376]"
49500,1,"[0.99697,0.99950,0.99949,0.97825,0.98486]"
51000,3,"[0.99646,0.99294,0.99747,0.96611,0.95560]"
52500,0,"[0.98939,0.99950,0.99646,0.98027,0.99041]"
