passo,acao,concat
0,3,"[0.02983,0.13182,0.14185,0.13266,0.09668]"
1500,3,"[0.50051,0.50859,0.49722,0.21671,0.20443]"
3000,1,"[0.53488,0.53636,0.58607,0.27747,0.28651]"
4500,0,"[0.53589,0.57828,0.56487,0.33013,0.34743]"
6000,0,"[0.53033,0.56162,0.60727,0.38329,0.43605]"
7500,1,"[0.54348,0.62778,0.66229,0.40810,0.48842]"
9000,0,"[0.52882,0.61364,0.64967,0.49114,0.64804]"
10500,0,"[0.54904,0.60505,0.65573,0.55797,0.76083]"
12000,0,"[0.51264,0.61263,0.67491,0.66329,0.76687]"
13500,1,"[0.51466,0.66919,0.71580,0.71291,0.83938]"
15000,1,"[0.51871,0.72424,0.78092,0.75392,0.88620]"
16500,0,"[0.49798,0.79141,0.78243,0.81620,0.89325]"
18000,1,"[0.50051,0.93939,0.92024,0.85873,0.92497]"
19500,4,"[0.54499,0.99495,0.99192,0.82380,0.84642]"
21000,3,"[0.58392,0.99646,0.99647,0.84101,0.89778]"
22500,3,"[0.65774,0.99596,0.99748,0.86329,0.88671]"
24000,3,"[0.77907,0.99798,0.99748,0.85418,0.88771]"
25500,3,"[0.97624,0.99949,0.99748,0.87139,0.88318]"
27000,3,"[0.98888,0.99899,1.00000,0.88405,0.89275]"
28500,4,"[0.99090,0.99747,1.00000,0.84253,0.85599]"
30000,4,"[0.99899,0.99949,1.00000,0.86380,0.86354]"
31500,4,"[0.99090,1.00000,0.99950,0.85316,0.83434]"
33000,4,"[0.99697,1.00000,0.99899,0.84405,0.84592]"
34500,4,"[0.99949,1.00000,1.00000,0.85772,0.85096]"
36000,4,"[0.99242,1.00000,1.00000,0.84861,0.83233]"
37500,2,"[0.99494,0.99949,1.00000,0.93266,0.92850]"
39000,0,"[0.90799,0.99596,0.99899,0.94987,0.96073]"
40500,4,"[0.99697,0.99949,0.99697,0.92354,0.93454]"
42000,1,"[0.98584,1.00000,1.00000,0.97266,0.97331]"
43500,0,"[0.97624,0.99899,0.99798,0.97924,0.96425]"
45000,0,"[0.96006,0.99848,0.99849,0.98177,0.98792]"
46500,3,"[0.99798,0.99848,0.99899,0.97266,0.97633]"
48000,1,"[0.99798,1.00000,0.99950,0.98481,0.98489]"
49500,3,"[0.99747,0.99949,1.00000,0.97671,0.97986]"
51000,0,"[0.99292,0.99949,1.00000,0.99443,0.99194]"
52500,2,"[0.99444,0.99848,0.99950,0.99342,0.99144]"
