passo,acao,concat
0,0,"[0.06381,0.08358,0.09938,0.11965,0.11736]"
1500,0,"[0.51015,0.50084,0.50270,0.30266,0.30367]"
3000,0,"[0.55796,0.57342,0.59023,0.34056,0.34837]"
4500,0,"[0.61207,0.66176,0.65620,0.39525,0.40751]"
6000,0,"[0.63755,0.72912,0.72966,0.41939,0.43615]"
7500,0,"[0.65610,0.77916,0.77540,0.47165,0.48655]"
9000,0,"[0.68762,0.83619,0.83576,0.51316,0.54343]"
10500,0,"[0.72433,0.86889,0.87155,0.56192,0.58967]"
12000,0,"[0.78336,0.90488,0.90353,0.58004,0.61713]"
13500,0,"[0.80593,0.92320,0.92509,0.62484,0.65510]"
15000,0,"[0.80621,0.94087,0.94220,0.68962,0.72828]"
16500,0,"[0.86066,0.95516,0.95930,0.73703,0.77642]"
18000,0,"[0.90357,0.97813,0.97824,0.74655,0.77931]"
19500,0,"[0.91659,0.98149,0.98086,0.78389,0.81484]"
21000,0,"[0.92602,0.98772,0.98761,0.81870,0.85378]"
22500,0,"[0.95681,0.99647,0.99621,0.84958,0.86899]"
24000,0,"[0.95632,0.99478,0.99747,0.89526,0.90099]"
25500,0,"[0.97247,0.99756,0.99688,0.90620,0.91352]"
27000,0,"[0.98426,0.99849,0.99697,0.91403,0.91927]"
28500,0,"[0.99225,0.99790,0.99655,0.92388,0.92513]"
30000,0,"[0.98477,0.99832,0.99891,0.93431,0.93510]"
31500,0,"[0.98359,0.99865,0.99907,0.95571,0.93710]"
33000,0,"[0.98754,0.99891,0.99916,0.94762,0.94560]"
34500,0,"[0.98510,0.99823,0.99882,0.96506,0.96210]"
36000,0,"[0.98864,0.99807,0.99697,0.97381,0.97129]"
37500,0,"[0.98840,0.99891,0.99882,0.97322,0.97170]"
39000,0,"[0.99318,0.99941,0.99916,0.98047,0.97768]"
40500,0,"[0.99335,0.99882,0.99848,0.98333,0.97271]"
42000,0,"[0.99638,0.99907,0.99933,0.98063,0.97592]"
43500,0,"[0.99722,0.99924,0.99941,0.97979,0.97786]"
45000,0,"[0.98092,0.99865,0.99899,0.98652,0.98114]"
46500,0,"[0.99478,0.99941,0.99916,0.98644,0.98400]"
48000,0,"[0.99185,0.99949,0.99958,0.98956,0.98586]"
49500,0,"[0.99705,0.99992,0.99983,0.99166,0.98838]"
51000,0,"[0.99108,0.99823,0.99916,0.98392,0.97828]"
52500,0,"[0.99453,0.99966,0.99899,0.98939,0.98712]"
