passo,acao,concat
0,0,"[0.12515,0.17403,0.15073,0.09612,0.07813]"
1500,0,"[0.50172,0.50187,0.50203,0.21663,0.21594]"
3000,0,"[0.53127,0.53207,0.52213,0.29469,0.29933]"
4500,0,"[0.55709,0.57995,0.57039,0.32135,0.32220]"
6000,0,"[0.58392,0.61823,0.61297,0.35762,0.36576]"
7500,0,"[0.60884,0.64127,0.64023,0.37954,0.40127]"
9000,0,"[0.62349,0.67020,0.66663,0.39753,0.42404]"
10500,0,"[0.62522,0.69666,0.69380,0.42748,0.45154]"
12000,0,"[0.64820,0.71872,0.71795,0.44926,0.46907]"
13500,0,"[0.66407,0.75071,0.75454,0.45900,0.48434]"
15000,0,"[0.68216,0.78002,0.78166,0.47981,0.49982]"
16500,0,"[0.68727,0.79163,0.79233,0.50272,0.52775]"
18000,0,"[0.68843,0.80300,0.80356,0.52724,0.56172]"
19500,0,"[0.69465,0.81656,0.81574,0.54521,0.57431]"
21000,0,"[0.70096,0.82989,0.84529,0.56870,0.59922]"
22500,0,"[0.71799,0.85058,0.86551,0.58785,0.61854]"
24000,0,"[0.74695,0.90440,0.89966,0.57675,0.60237]"
25500,0,"[0.76478,0.90746,0.90279,0.61295,0.65013]"
27000,0,"[0.80033,0.91034,0.90396,0.63114,0.67616]"
28500,0,"[0.80418,0.91619,0.91052,0.64947,0.69662]"
30000,0,"[0.83764,0.94168,0.93381,0.65869,0.69587]"
31500,0,"[0.83763,0.96781,0.96069,0.69652,0.73146]"
33000,0,"[0.85083,0.97684,0.97382,0.71883,0.74209]"
34500,0,"[0.85628,0.97415,0.97695,0.73029,0.75749]"
36000,0,"[0.86471,0.98021,0.97826,0.75954,0.78255]"
37500,0,"[0.87925,0.98202,0.98114,0.80552,0.82375]"
39000,0,"[0.89576,0.98263,0.98135,0.80799,0.81950]"
40500,0,"[0.90131,0.98223,0.98261,0.83752,0.83996]"
42000,0,"[0.90157,0.98258,0.98059,0.86202,0.85915]"
43500,0,"[0.93836,0.98283,0.98231,0.87180,0.87683]"
45000,0,"[0.92932,0.98147,0.98054,0.89735,0.90572]"
46500,0,"[0.94204,0.98208,0.98024,0.90371,0.90628]"
48000,0,"[0.95205,0.98445,0.98246,0.91506,0.91961]"
49500,0,"[0.94537,0.98207,0.98114,0.92971,0.92560]"
51000,0,"[0.94876,0.98293,0.98129,0.93308,0.93554]"
52500,0,"[0.94926,0.98273,0.98043,0.94283,0.94155]"
