passo,acao,concat
0,0,"[0.06250,0.09180,0.12491,0.11699,0.10958]"
1500,0,"[0.51575,0.50332,0.50329,0.27154,0.26680]"
3000,0,"[0.52838,0.54675,0.53837,0.30338,0.31505]"
4500,0,"[0.59501,0.66531,0.67199,0.32611,0.32727]"
6000,0,"[0.63873,0.72855,0.73481,0.36407,0.39020]"
7500,0,"[0.68926,0.79790,0.80183,0.38174,0.37144]"
9000,0,"[0.72690,0.84511,0.85088,0.38530,0.37209]"
10500,0,"[0.79429,0.86698,0.86355,0.40393,0.39708]"
12000,0,"[0.84618,0.90380,0.90126,0.42739,0.40929]"
13500,0,"[0.87835,0.92298,0.91847,0.44582,0.42047]"
15000,0,"[0.89714,0.92921,0.92564,0.45752,0.43334]"
16500,0,"[0.89857,0.92912,0.92371,0.49051,0.49119]"
18000,0,"[0.90775,0.93434,0.93390,0.50901,0.51763]"
19500,0,"[0.90202,0.93637,0.93297,0.55031,0.55893]"
21000,0,"[0.89924,0.93872,0.93742,0.61780,0.62499]"
22500,0,"[0.91424,0.95253,0.95156,0.67201,0.66529]"
24000,0,"[0.91786,0.95614,0.95273,0.70463,0.69302]"
25500,0,"[0.92915,0.95732,0.95930,0.72739,0.71908]"
27000,0,"[0.93428,0.97029,0.96307,0.73341,0.71835]"
28500,0,"[0.94027,0.97710,0.97309,0.74649,0.74473]"
30000,0,"[0.94313,0.97938,0.97805,0.81279,0.80740]"
31500,0,"[0.95341,0.97837,0.97906,0.81020,0.79695]"
33000,0,"[0.95425,0.98485,0.98259,0.84638,0.81918]"
34500,0,"[0.96183,0.98603,0.98562,0.83551,0.81647]"
36000,0,"[0.95973,0.98569,0.98663,0.84691,0.83145]"
37500,0,"[0.95509,0.98460,0.98469,0.87482,0.85396]"
39000,0,"[0.96663,0.98611,0.98654,0.89860,0.87703]"
40500,0,"[0.96537,0.98628,0.98697,0.89365,0.88265]"
42000,0,"[0.96444,0.98721,0.98755,0.89957,0.88601]"
43500,0,"[0.95156,0.98653,0.98629,0.93105,0.91230]"
45000,0,"[0.96630,0.98872,0.98822,0.93306,0.92754]"
46500,0,"[0.96007,0.98872,0.98747,0.94672,0.93705]"
48000,0,"[0.96487,0.98813,0.98772,0.94781,0.94107]"
49500,0,"[0.95282,0.98889,0.98991,0.95657,0.94705]"
51000,0,"[0.96664,0.98864,0.98966,0.96037,0.95260]"
52500,0,"[0.97371,0.98956,0.98940,0.96029,0.95285]"
