passo,acao,concat
0,0,"[0.06502,0.16381,0.16005,0.09045,0.09211]"
1500,0,"[0.51667,0.59424,0.59921,0.17933,0.18411]"
3000,0,"[0.53068,0.58392,0.60686,0.26197,0.25426]"
4500,0,"[0.57936,0.59731,0.62275,0.29067,0.28261]"
6000,0,"[0.62628,0.65731,0.65826,0.30641,0.29978]"
7500,0,"[0.66115,0.72771,0.73277,0.31316,0.30944]"
9000,0,"[0.75362,0.81934,0.82341,0.31923,0.31538]"
10500,0,"[0.82049,0.83491,0.86308,0.32290,0.31563]"
12000,0,"[0.87595,0.90256,0.90616,0.33042,0.32409]"
13500,0,"[0.91777,0.92446,0.93231,0.32812,0.32460]"
15000,0,"[0.93329,0.93607,0.93806,0.33192,0.34108]"
16500,0,"[0.94452,0.95078,0.95523,0.33413,0.33248]"
18000,0,"[0.97417,0.97401,0.97714,0.33628,0.34670]"
19500,0,"[0.97007,0.98845,0.98668,0.33849,0.34437]"
21000,0,"[0.99406,0.98249,0.98959,0.32902,0.35448]"
22500,0,"[0.99097,0.98788,0.99241,0.33679,0.36382]"
24000,0,"[0.99697,0.99161,0.99103,0.34336,0.38863]"
25500,0,"[0.99867,0.99924,0.99924,0.35062,0.41386]"
27000,0,"[0.99842,0.99792,0.99507,0.34267,0.43445]"
28500,0,"[0.99886,0.99615,0.99912,0.35630,0.47442]"
30000,0,"[0.99564,0.99918,0.99880,0.36914,0.48617]"
31500,0,"[0.99912,0.99748,0.99552,0.39451,0.49998]"
33000,0,"[0.99962,0.99924,0.99962,0.42263,0.53161]"
34500,0,"[0.99956,0.99943,0.99968,0.45312,0.57731]"
36000,0,"[0.99893,0.99861,0.99968,0.47667,0.61248]"
37500,0,"[0.99685,0.99350,0.99956,0.49884,0.63400]"
39000,0,"[0.99987,0.99968,0.99937,0.53641,0.67675]"
40500,0,"[0.99943,0.99912,1.00000,0.56535,0.70106]"
42000,0,"[0.99943,0.99981,0.99912,0.60413,0.75069]"
43500,0,"[0.99893,0.99779,0.99924,0.64172,0.78195]"
45000,0,"[0.99943,0.99956,0.99937,0.67946,0.81283]"
46500,0,"[0.99943,0.99937,0.99975,0.70531,0.83310]"
48000,0,"[0.99975,0.99968,0.99987,0.72514,0.85224]"
49500,0,"[0.99924,0.99981,0.99950,0.75913,0.86942]"
51000,0,"[0.99956,0.99937,0.99981,0.76709,0.87605]"
52500,0,"[0.99956,0.99912,0.99975,0.78275,0.88205]"
