passo,acao,concat
0,0,"[0.12973,0.05117,0.04783,0.09798,0.10814]"
1500,0,"[0.51742,0.60841,0.61732,0.16162,0.16372]"
3000,0,"[0.55679,0.58511,0.64653,0.23788,0.23850]"
4500,0,"[0.65068,0.61499,0.64199,0.23889,0.20819]"
6000,0,"[0.65169,0.63070,0.65408,0.29545,0.29763]"
7500,0,"[0.70369,0.63526,0.65156,0.30606,0.30975]"
9000,0,"[0.72337,0.64539,0.68328,0.29141,0.28095]"
10500,0,"[0.71782,0.67477,0.66264,0.29394,0.30318]"
12000,0,"[0.73094,0.69605,0.72910,0.30303,0.30824]"
13500,0,"[0.77839,0.74721,0.77090,0.31667,0.31127]"
15000,0,"[0.90106,0.88956,0.89275,0.31162,0.33098]"
16500,0,"[0.98587,0.98430,0.98540,0.32323,0.33199]"
18000,0,"[0.96618,0.96657,0.98892,0.34343,0.34816]"
19500,0,"[0.97375,0.91641,0.91843,0.33939,0.35574]"
21000,0,"[0.98536,0.97214,0.99396,0.36263,0.32441]"
22500,0,"[1.00000,1.00000,1.00000,0.33283,0.31784]"
24000,0,"[0.99596,0.99493,0.99899,0.35606,0.33653]"
25500,0,"[0.98788,0.99899,1.00000,0.33838,0.32036]"
27000,0,"[0.98233,0.99037,0.99899,0.32828,0.35371]"
28500,0,"[0.99950,0.99645,1.00000,0.34141,0.34159]"
30000,0,"[1.00000,0.99797,0.99950,0.36010,0.34917]"
31500,0,"[0.99748,0.99240,0.99849,0.33889,0.38252]"
33000,0,"[0.98132,0.99696,0.99899,0.35202,0.43911]"
34500,0,"[1.00000,1.00000,0.99950,0.36010,0.48762]"
36000,0,"[0.99899,0.99696,1.00000,0.46869,0.58565]"
37500,0,"[1.00000,1.00000,1.00000,0.54899,0.64831]"
39000,0,"[1.00000,1.00000,1.00000,0.56010,0.62001]"
40500,0,"[0.99798,0.99747,0.99950,0.61263,0.66195]"
42000,0,"[1.00000,0.99848,1.00000,0.64141,0.73067]"
43500,0,"[1.00000,1.00000,0.99950,0.64899,0.73522]"
45000,0,"[0.99849,0.99797,1.00000,0.71212,0.80445]"
46500,0,"[1.00000,1.00000,1.00000,0.70758,0.79535]"
48000,0,"[0.99849,0.99899,0.99950,0.76364,0.83173]"
49500,0,"[1.00000,1.00000,1.00000,0.78838,0.83022]"
51000,0,"[1.00000,0.99949,1.00000,0.77677,0.84740]"
52500,0,"[1.00000,1.00000,1.00000,0.79545,0.85801]"
