passo,acao,concat
0,4,"[0.14538,0.23306,0.20333,0.04699,0.03434]"
1500,4,"[0.54215,0.61325,0.61554,0.15412,0.15303]"
3000,1,"[0.56032,0.59707,0.60797,0.22991,0.24949]"
4500,2,"[0.60121,0.61274,0.61604,0.25619,0.27778]"
6000,3,"[0.67239,0.61375,0.64379,0.26124,0.27222]"
7500,2,"[0.67087,0.60111,0.66347,0.28954,0.29293]"
9000,2,"[0.69763,0.72144,0.70081,0.31683,0.30808]"
10500,2,"[0.73650,0.80283,0.78910,0.32289,0.32778]"
12000,3,"[0.84149,0.96663,0.95913,0.34462,0.35808]"
13500,2,"[0.97880,0.98888,0.94349,0.32592,0.33434]"
15000,0,"[0.96921,0.97573,0.96468,0.33805,0.34646]"
16500,0,"[0.90056,0.98332,0.97830,0.34664,0.35051]"
18000,1,"[0.99748,0.99545,0.99294,0.32895,0.33737]"
19500,0,"[0.93589,0.99444,0.99697,0.33552,0.35505]"
21000,1,"[1.00000,0.99848,0.99495,0.36382,0.32778]"
22500,0,"[0.99849,0.99899,0.99899,0.35927,0.32677]"
24000,1,"[0.99849,0.99949,0.99849,0.35978,0.33182]"
25500,0,"[0.99849,0.98079,0.99495,0.34007,0.35960]"
27000,0,"[0.99798,1.00000,0.99950,0.35675,0.35253]"
28500,0,"[0.99899,1.00000,1.00000,0.36129,0.39242]"
30000,0,"[0.99798,0.98231,0.99445,0.40576,0.44293]"
31500,0,"[1.00000,0.99899,0.99697,0.54826,0.49848]"
33000,2,"[1.00000,1.00000,1.00000,0.55483,0.54848]"
34500,3,"[1.00000,0.99949,0.99950,0.56443,0.56263]"
36000,0,"[0.98940,0.99949,0.99950,0.62506,0.62929]"
37500,4,"[1.00000,1.00000,1.00000,0.61950,0.61515]"
39000,1,"[0.99950,1.00000,1.00000,0.63618,0.69040]"
40500,2,"[1.00000,1.00000,1.00000,0.65589,0.68636]"
42000,1,"[1.00000,0.99949,1.00000,0.65589,0.70152]"
43500,2,"[1.00000,1.00000,1.00000,0.70086,0.71313]"
45000,2,"[1.00000,1.00000,1.00000,0.70844,0.78384]"
46500,2,"[1.00000,1.00000,1.00000,0.74533,0.78990]"
48000,0,"[1.00000,0.99697,1.00000,0.79838,0.84747]"
49500,2,"[0.99798,1.00000,0.99950,0.81102,0.84747]"
51000,2,"[0.99950,1.00000,1.00000,0.82769,0.85859]"
52500,2,"[1.00000,1.00000,1.00000,0.84790,0.85000]"
