passo,acao,concat
0,1,"[0.12247,0.04947,0.04186,0.10915,0.10550]"
1500,1,"[0.51569,0.58051,0.60111,0.19151,0.18375]"
3000,2,"[0.63613,0.60626,0.61271,0.24912,0.25543]"
4500,0,"[0.55263,0.57749,0.62179,0.37140,0.32458]"
6000,4,"[0.73836,0.71277,0.75240,0.34007,0.32307]"
7500,0,"[0.72874,0.70268,0.75189,0.34715,0.32913]"
9000,0,"[0.71204,0.71681,0.79123,0.33805,0.33821]"
10500,3,"[0.92055,0.97627,0.96571,0.33603,0.32408]"
12000,0,"[0.98684,0.98839,0.96974,0.34866,0.33771]"
13500,0,"[0.97571,0.95406,0.98588,0.34765,0.33973]"
15000,1,"[0.99798,0.99445,0.97529,0.34816,0.34528]"
16500,0,"[0.99899,0.99849,0.99899,0.32996,0.36194]"
18000,0,"[0.97470,0.99899,0.99950,0.34209,0.34124]"
19500,0,"[0.99494,0.99344,0.98941,0.35220,0.34780]"
21000,0,"[0.99393,0.95053,0.99899,0.31784,0.40737]"
22500,0,"[0.99899,0.99748,0.99899,0.34866,0.46795]"
24000,0,"[0.98279,0.99091,0.99697,0.39717,0.56032]"
25500,0,"[0.99696,0.99495,0.99849,0.45781,0.63554]"
27000,0,"[0.99646,0.99748,0.99697,0.50379,0.68501]"
28500,3,"[1.00000,1.00000,1.00000,0.51642,0.67744]"
30000,0,"[0.99899,1.00000,0.99950,0.55786,0.74609]"
31500,0,"[0.99949,0.99849,0.99849,0.59474,0.76981]"
33000,1,"[1.00000,0.99849,0.99798,0.59272,0.81676]"
34500,2,"[1.00000,0.99950,1.00000,0.63719,0.82635]"
36000,0,"[0.99899,0.99899,0.99950,0.65488,0.83998]"
37500,0,"[0.99899,0.99647,0.99899,0.70440,0.87380]"
39000,0,"[0.99696,1.00000,1.00000,0.72259,0.86068]"
40500,0,"[0.99798,0.99697,0.99849,0.73118,0.88188]"
42000,0,"[0.99696,0.99798,0.99950,0.74684,0.89248]"
43500,0,"[0.99545,0.99748,0.99950,0.77009,0.91418]"
45000,1,"[0.99949,1.00000,1.00000,0.75897,0.88995]"
46500,1,"[1.00000,1.00000,1.00000,0.78221,0.88693]"
48000,0,"[0.99949,1.00000,0.99950,0.78120,0.90863]"
49500,2,"[1.00000,0.99950,1.00000,0.76756,0.91620]"
51000,2,"[1.00000,1.00000,1.00000,0.76756,0.90712]"
52500,2,"[1.00000,1.00000,0.99950,0.79232,0.91469]"
