passo,acao,concat
0,0,"[0.12892,0.06465,0.10045,0.12405,0.07956]"
1500,0,"[0.51769,0.50101,0.50126,0.32456,0.31420]"
3000,1,"[0.55359,0.56061,0.60121,0.33772,0.39225]"
4500,2,"[0.66633,0.68232,0.67845,0.42076,0.48640]"
6000,1,"[0.68049,0.69646,0.73246,0.53367,0.57805]"
7500,2,"[0.70425,0.81162,0.81323,0.57468,0.60826]"
9000,1,"[0.67240,0.88485,0.89046,0.62380,0.68530]"
10500,2,"[0.73256,0.96768,0.98284,0.66532,0.74824]"
12000,3,"[0.82558,0.99192,0.99546,0.70329,0.76435]"
13500,3,"[0.89687,0.99848,0.99899,0.73924,0.77895]"
15000,3,"[0.96967,0.99848,0.99899,0.76861,0.79355]"
16500,1,"[0.97978,0.99899,0.99849,0.89620,0.87563]"
18000,2,"[0.99393,0.99949,1.00000,0.90076,0.89577]"
19500,0,"[0.95905,0.99141,0.98637,0.95241,0.92548]"
21000,1,"[0.98635,0.99949,0.99748,0.93620,0.93857]"
22500,2,"[0.98180,1.00000,1.00000,0.94278,0.88872]"
24000,3,"[0.97725,1.00000,1.00000,0.94380,0.93605]"
25500,3,"[0.99848,1.00000,1.00000,0.95848,0.93605]"
27000,3,"[0.99848,1.00000,0.99495,0.95291,0.94058]"
28500,0,"[0.98938,0.99899,0.99546,0.98430,0.97936]"
30000,3,"[0.98787,0.99899,0.99950,0.97519,0.95317]"
31500,1,"[0.99747,0.99949,1.00000,0.99291,0.97080]"
33000,1,"[0.99596,0.99899,0.99899,0.98532,0.98087]"
34500,1,"[0.99899,0.99949,1.00000,0.99494,0.99094]"
36000,1,"[0.98938,0.99848,0.99748,0.99089,0.97784]"
37500,0,"[0.99494,0.99899,0.99849,0.99291,0.98943]"
39000,1,"[0.99494,1.00000,1.00000,0.99646,0.99194]"
40500,2,"[0.99697,0.99949,1.00000,0.99190,0.98338]"
42000,0,"[0.99848,1.00000,1.00000,0.99443,0.98691]"
43500,2,"[0.99747,0.99899,0.99950,0.99291,0.98489]"
45000,3,"[1.00000,0.99949,1.00000,0.98076,0.98540]"
46500,1,"[0.98938,1.00000,0.99849,0.97772,0.98943]"
48000,1,"[0.99899,1.00000,1.00000,0.99291,0.99094]"
49500,1,"[0.99747,1.00000,1.00000,0.99747,0.99648]"
51000,0,"[0.98736,0.99848,0.99849,0.99949,0.99698]"
52500,1,"[0.99848,1.00000,1.00000,0.98987,0.98842]"
