passo,acao,concat
0,2,"[0.32154,0.04798,0.06609,0.07747,0.08564]"
1500,2,"[0.50809,0.50657,0.50303,0.20253,0.21008]"
3000,2,"[0.54904,0.54899,0.56660,0.32709,0.29824]"
4500,0,"[0.56977,0.58333,0.60394,0.31544,0.34307]"
6000,0,"[0.55157,0.53232,0.56004,0.39038,0.47355]"
7500,0,"[0.58847,0.61212,0.63875,0.44101,0.56121]"
9000,4,"[0.65268,0.71717,0.73713,0.41975,0.46398]"
10500,4,"[0.78868,0.76566,0.76640,0.40608,0.42166]"
12000,3,"[0.80738,0.80859,0.81988,0.44506,0.47859]"
13500,4,"[0.83165,0.84141,0.84006,0.40810,0.44181]"
15000,4,"[0.84884,0.87020,0.86024,0.43241,0.44332]"
16500,2,"[0.84328,0.91212,0.90464,0.49165,0.55013]"
18000,3,"[0.85288,0.95455,0.96569,0.51342,0.59748]"
19500,4,"[0.91052,0.99444,0.99899,0.52253,0.54660]"
21000,4,"[0.96562,0.99899,0.99899,0.48101,0.54811]"
22500,2,"[0.97725,0.99848,0.99798,0.59595,0.70227]"
24000,4,"[0.99191,1.00000,1.00000,0.57772,0.69169]"
25500,2,"[0.96764,0.99242,0.98890,0.68152,0.76020]"
27000,2,"[0.98989,0.99949,1.00000,0.77316,0.84282]"
28500,2,"[0.98180,0.99949,1.00000,0.82228,0.87003]"
30000,2,"[0.99242,1.00000,0.99950,0.87342,0.90378]"
31500,4,"[0.99697,0.99949,1.00000,0.84101,0.85441]"
33000,3,"[0.99545,1.00000,1.00000,0.88354,0.89924]"
34500,2,"[0.98332,1.00000,0.99950,0.91494,0.92242]"
36000,2,"[0.99596,1.00000,1.00000,0.92000,0.93098]"
37500,1,"[0.99747,0.99798,0.99899,0.94835,0.93804]"
39000,3,"[0.99899,1.00000,1.00000,0.93316,0.94055]"
40500,0,"[0.99596,0.99949,0.99899,0.95797,0.95919]"
42000,0,"[0.97118,0.97374,0.99193,0.96405,0.97078]"
43500,1,"[0.99292,0.99899,1.00000,0.97468,0.97229]"
45000,2,"[1.00000,1.00000,1.00000,0.96608,0.96927]"
46500,1,"[0.99798,1.00000,1.00000,0.98278,0.98287]"
48000,1,"[0.99798,1.00000,1.00000,0.98127,0.99011]"
49500,1,"[0.99393,0.99949,0.99950,0.99038,0.99608]"

