passo,acao,concat
0,4,"[0.09904,0.08434,0.09109,0.09668,0.09348]"
1500,4,"[0.54068,0.59545,0.58451,0.16566,0.17787]"
3000,1,"[0.58969,0.57929,0.61994,0.23414,0.21526]"
4500,0,"[0.64174,0.56919,0.58856,0.26234,0.25215]"
6000,0,"[0.59980,0.60101,0.58451,0.29809,0.27640]"
7500,1,"[0.66246,0.59394,0.61842,0.33988,0.31784]"
9000,2,"[0.67863,0.70505,0.68067,0.34743,0.32491]"
10500,2,"[0.79080,0.78586,0.76923,0.34592,0.33754]"
12000,4,"[0.99697,0.99798,0.98735,0.31722,0.29510]"
13500,0,"[0.90298,0.91818,0.94636,0.34139,0.32087]"
15000,4,"[0.99848,0.99798,0.99595,0.32175,0.31784]"
16500,0,"[0.99040,0.94848,0.96660,0.33887,0.34361]"
18000,0,"[0.99848,0.96515,0.96154,0.34743,0.32845]"
19500,1,"[0.99899,1.00000,0.99949,0.35247,0.36938]"
21000,0,"[1.00000,0.99798,0.99443,0.33988,0.33704]"
22500,4,"[1.00000,1.00000,1.00000,0.33233,0.33199]"
24000,1,"[1.00000,1.00000,1.00000,0.33535,0.33098]"
25500,0,"[0.99040,0.99192,0.99190,0.33736,0.34462]"
27000,0,"[0.99899,1.00000,0.99798,0.30967,0.35068]"
28500,2,"[1.00000,1.00000,1.00000,0.34542,0.35068]"
30000,2,"[1.00000,1.00000,1.00000,0.33938,0.34715]"
31500,3,"[1.00000,1.00000,1.00000,0.33736,0.34411]"
33000,2,"[1.00000,0.99848,0.96204,0.34894,0.35321]"
34500,0,"[0.99747,1.00000,0.99949,0.36153,0.33199]"
36000,0,"[0.99848,1.00000,1.00000,0.35448,0.35927]"
37500,1,"[1.00000,1.00000,1.00000,0.32679,0.34917]"
39000,2,"[1.00000,1.00000,1.00000,0.35398,0.35826]"
40500,2,"[1.00000,1.00000,1.00000,0.34592,0.37898]"
42000,1,"[1.00000,0.99949,1.00000,0.33031,0.39262]"
43500,1,"[1.00000,1.00000,0.99899,0.31873,0.50025]"
45000,0,"[0.99848,0.99899,0.99949,0.35599,0.58060]"
46500,0,"[0.99949,0.99899,0.99747,0.36405,0.66852]"
48000,3,"[1.00000,1.00000,1.00000,0.42044,0.67660]"
49500,1,"[0.99949,1.00000,0.99949,0.43656,0.70894]"
51000,0,"[0.99899,0.99848,1.00000,0.53827,0.77564]"
52500,3,"[1.00000,0.99949,1.00000,0.57452,0.79586]"
54000,1,"[0.99949,1.00000,1.00000,0.63847,0.82567]"
55500,1,"[0.99949,1.00000,1.00000,0.68379,0.84538]"
57000,1,"[0.99949,0.99949,1.00000,0.70443,0.86306]"
58500,3,"[0.99899,1.00000,1.00000,0.71198,0.84184]"
60000,1,"[1.00000,1.00000,1.00000,0.73817,0.87367]"
61500,1,"[0.99949,1.00000,1.00000,0.75982,0.89793]"
63000,4,"[1.00000,1.00000,1.00000,0.76586,0.88075]"
64500,2,"[1.00000,0.99949,1.00000,0.78147,0.88125]"
66000,3,"[1.00000,1.00000,0.99949,0.78147,0.87671]"
67500,3,"[1.00000,1.00000,1.00000,0.77392,0.88327]"
69000,3,"[1.00000,0.99949,1.00000,0.78751,0.88934]"
70500,3,"[1.00000,1.00000,1.00000,0.77492,0.87923]"
72000,1,"[1.00000,1.00000,1.00000,0.82528,0.90399]"
73500,0,"[1.00000,1.00000,1.00000,0.82779,0.92269]"
75000,3,"[1.00000,1.00000,1.00000,0.84693,0.91258]"
76500,0,"[1.00000,1.00000,0.99949,0.85096,0.92724]"
78000,3,"[0.99949,1.00000,1.00000,0.84794,0.91208]"
79500,0,"[1.00000,0.99949,1.00000,0.86707,0.93279]"
81000,0,"[0.99949,0.99949,1.00000,0.86556,0.93229]"
82500,3,"[1.00000,0.99949,1.00000,0.86304,0.93532]"
84000,2,"[1.00000,1.00000,1.00000,0.86908,0.94189]"
85500,3,"[1.00000,1.00000,0.99949,0.85398,0.92926]"
87000,3,"[0.99949,1.00000,0.99949,0.83887,0.92370]"
88500,0,"[1.00000,0.99949,1.00000,0.87915,0.93734]"
