passo,acao,concat
0,1,"[0.03941,0.22402,0.22127,0.07258,0.08333]"
1500,1,"[0.50177,0.59637,0.58380,0.19556,0.18838]"
3000,3,"[0.66448,0.59990,0.61266,0.19657,0.20404]"
4500,2,"[0.68014,0.61655,0.62329,0.28528,0.25556]"
6000,2,"[0.69429,0.65338,0.64911,0.33165,0.32525]"
7500,0,"[0.67964,0.64178,0.67139,0.34274,0.32424]"
9000,4,"[0.81001,0.88597,0.89418,0.31754,0.31869]"
10500,0,"[0.83578,0.88900,0.88962,0.34829,0.32778]"
12000,2,"[0.99545,1.00000,0.99949,0.34173,0.32475]"
13500,3,"[0.99697,1.00000,0.99949,0.33417,0.31263]"
15000,0,"[0.99949,1.00000,1.00000,0.33569,0.34899]"
16500,2,"[1.00000,1.00000,1.00000,0.35433,0.31970]"
18000,0,"[1.00000,1.00000,1.00000,0.32762,0.32121]"
19500,0,"[1.00000,0.99798,1.00000,0.33921,0.34899]"
21000,2,"[1.00000,1.00000,1.00000,0.35181,0.34394]"
22500,2,"[1.00000,1.00000,1.00000,0.34829,0.34293]"
24000,2,"[1.00000,1.00000,1.00000,0.34627,0.33131]"
25500,0,"[1.00000,0.99899,1.00000,0.33165,0.31818]"
27000,1,"[0.93431,0.99193,1.00000,0.34677,0.35000]"
28500,4,"[1.00000,1.00000,1.00000,0.35786,0.32727]"
30000,3,"[1.00000,1.00000,1.00000,0.33871,0.32980]"
31500,4,"[1.00000,1.00000,1.00000,0.34526,0.32475]"
33000,0,"[1.00000,1.00000,1.00000,0.34677,0.34495]"
34500,1,"[1.00000,1.00000,1.00000,0.34526,0.32626]"
36000,3,"[1.00000,1.00000,1.00000,0.33871,0.34242]"
37500,2,"[0.99798,1.00000,1.00000,0.36845,0.33434]"
39000,4,"[1.00000,1.00000,1.00000,0.35837,0.35960]"
40500,3,"[1.00000,1.00000,1.00000,0.36341,0.35404]"
42000,2,"[0.99848,1.00000,1.00000,0.41784,0.38182]"
43500,3,"[1.00000,1.00000,1.00000,0.44002,0.39444]"
45000,4,"[1.00000,1.00000,1.00000,0.44052,0.39545]"
46500,0,"[0.99747,1.00000,0.99899,0.61845,0.47323]"
48000,4,"[1.00000,1.00000,1.00000,0.59929,0.47727]"
49500,3,"[1.00000,0.99950,1.00000,0.67440,0.49091]"
51000,3,"[1.00000,1.00000,1.00000,0.71371,0.52071]"
52500,4,"[0.99949,0.98789,0.99342,0.65524,0.51111]"
54000,1,"[0.99949,1.00000,1.00000,0.79133,0.58636]"
55500,0,"[1.00000,0.99798,0.99392,0.81905,0.63283]"
57000,2,"[1.00000,1.00000,1.00000,0.83669,0.65404]"
58500,2,"[1.00000,1.00000,1.00000,0.82863,0.66263]"
60000,1,"[1.00000,1.00000,1.00000,0.85181,0.70606]"
61500,0,"[0.99949,1.00000,0.99949,0.87147,0.74192]"
63000,4,"[1.00000,1.00000,1.00000,0.87550,0.72525]"
64500,1,"[0.99949,1.00000,1.00000,0.86996,0.75960]"
66000,0,"[0.99848,1.00000,1.00000,0.89667,0.79293]"
67500,3,"[0.99949,0.99950,1.00000,0.87550,0.77424]"
69000,0,"[1.00000,1.00000,1.00000,0.89365,0.80354]"
70500,1,"[1.00000,1.00000,1.00000,0.90020,0.81818]"
72000,4,"[1.00000,1.00000,0.99949,0.87500,0.80707]"
73500,0,"[1.00000,1.00000,1.00000,0.89718,0.83232]"
75000,2,"[0.99949,1.00000,1.00000,0.89214,0.82576]"
76500,3,"[1.00000,1.00000,1.00000,0.89667,0.83333]"
78000,1,"[1.00000,1.00000,1.00000,0.89667,0.83636]"
79500,1,"[1.00000,1.00000,1.00000,0.91280,0.85859]"
81000,3,"[1.00000,0.99950,1.00000,0.88306,0.85707]"
82500,2,"[0.99949,1.00000,1.00000,0.90474,0.86717]"
84000,1,"[1.00000,0.99950,1.00000,0.91583,0.86818]"
85500,2,"[1.00000,1.00000,1.00000,0.92036,0.86818]"
87000,4,"[1.00000,0.99950,1.00000,0.90927,0.84192]"
88500,0,"[0.99949,1.00000,1.00000,0.92540,0.87424]"
90000,3,"[1.00000,1.00000,1.00000,0.90927,0.87929]"
91500,0,"[1.00000,1.00000,0.99949,0.93599,0.87980]"
93000,1,"[1.00000,1.00000,1.00000,0.94204,0.88939]"
94500,3,"[1.00000,1.00000,0.99949,0.91230,0.88333]"
96000,4,"[1.00000,1.00000,1.00000,0.92036,0.87121]"
97500,4,"[1.00000,1.00000,1.00000,0.87097,0.83535]"
99000,1,"[0.99949,1.00000,1.00000,0.91885,0.88687]"
100500,1,"[1.00000,0.99950,1.00000,0.93448,0.89343]"
