passo,acao,concat
0,4,"[0.09466,0.18753,0.11881,0.08097,0.09311]"
1500,4,"[0.50806,0.50431,0.48938,0.20547,0.18873]"
3000,1,"[0.51964,0.49873,0.49697,0.24038,0.23402]"
4500,4,"[0.57503,0.60010,0.60010,0.25911,0.28485]"
6000,0,"[0.59617,0.59149,0.57280,0.27024,0.27579]"
7500,4,"[0.59265,0.60922,0.59505,0.26366,0.27479]"
9000,3,"[0.57452,0.61024,0.57482,0.27277,0.28334]"
10500,1,"[0.58812,0.59909,0.59656,0.27733,0.28586]"
12000,2,"[0.58308,0.59909,0.60111,0.28138,0.29039]"
13500,0,"[0.59366,0.61987,0.64965,0.33856,0.37947]"
15000,0,"[0.60423,0.66498,0.66734,0.38765,0.41319]"
16500,2,"[0.64350,0.72428,0.72952,0.40891,0.42476]"
18000,0,"[0.61581,0.71515,0.72447,0.42662,0.46150]"
19500,4,"[0.67573,0.79017,0.79778,0.40283,0.42275]"
21000,2,"[0.69285,0.80284,0.82356,0.42156,0.46251]"
22500,0,"[0.67372,0.80943,0.81598,0.47976,0.52894]"
24000,0,"[0.66465,0.81703,0.80991,0.51569,0.55159]"
25500,1,"[0.68781,0.82514,0.82305,0.53745,0.55511]"
27000,2,"[0.71752,0.83122,0.83569,0.52986,0.56517]"
28500,1,"[0.72810,0.83122,0.83873,0.54302,0.58530]"
30000,4,"[0.77593,0.83730,0.83974,0.52935,0.57121]"
31500,2,"[0.81319,0.83730,0.84024,0.57540,0.59235]"
33000,3,"[0.81067,0.84085,0.84934,0.55972,0.58430]"
34500,2,"[0.83031,0.83730,0.83822,0.59211,0.60996]"
36000,0,"[0.81672,0.83173,0.84732,0.58097,0.62959]"
37500,3,"[0.82830,0.84693,0.84985,0.59109,0.63966]"
39000,1,"[0.82679,0.84896,0.84934,0.60628,0.64217]"
40500,0,"[0.82528,0.84034,0.84681,0.62551,0.67187]"
42000,4,"[0.84240,0.84592,0.84833,0.59464,0.65476]"
43500,0,"[0.83585,0.85504,0.85035,0.61741,0.67338]"
45000,2,"[0.84945,0.84896,0.85137,0.64727,0.69351]"
46500,3,"[0.84693,0.86062,0.86249,0.64423,0.67489]"
48000,0,"[0.84441,0.84643,0.84985,0.66093,0.71616]"
49500,1,"[0.84290,0.85403,0.85440,0.66953,0.72169]"
51000,3,"[0.83837,0.85200,0.85642,0.66296,0.70357]"
52500,3,"[0.84391,0.85707,0.86249,0.63158,0.69703]"
54000,3,"[0.86002,0.86214,0.86198,0.65638,0.71817]"
55500,3,"[0.87210,0.87582,0.86400,0.65587,0.70861]"
57000,3,"[0.86002,0.86822,0.87462,0.65385,0.71414]"
58500,4,"[0.86908,0.87886,0.86451,0.65132,0.70005]"
60000,1,"[0.87613,0.88495,0.87108,0.70192,0.75541]"
61500,0,"[0.86103,0.86619,0.87361,0.72115,0.78158]"
63000,2,"[0.86002,0.88951,0.87007,0.71964,0.75893]"
64500,1,"[0.87714,0.87025,0.87412,0.73634,0.79819]"
66000,0,"[0.86707,0.87734,0.86350,0.76215,0.81731]"
67500,4,"[0.87966,0.88951,0.88423,0.68168,0.75340]"
69000,3,"[0.88469,0.88900,0.88069,0.73279,0.77554]"
70500,2,"[0.88520,0.89965,0.87765,0.76468,0.79316]"
72000,0,"[0.88117,0.87633,0.88119,0.78694,0.83895]"
73500,2,"[0.87865,0.89812,0.88574,0.77986,0.83543]"
75000,0,"[0.87764,0.89660,0.88271,0.80162,0.84751]"
76500,1,"[0.88167,0.90066,0.88322,0.80567,0.85908]"
78000,2,"[0.89275,0.90471,0.88574,0.80870,0.86009]"
79500,4,"[0.89325,0.90826,0.90950,0.74393,0.79567]"
81000,2,"[0.90030,0.90269,0.89838,0.79960,0.85003]"
82500,4,"[0.91289,0.91992,0.91102,0.77075,0.81077]"
84000,2,"[0.90282,0.92296,0.91153,0.80415,0.86160]"
85500,2,"[0.91239,0.92043,0.91254,0.82287,0.84650]"
87000,3,"[0.91339,0.91637,0.91405,0.79605,0.84751]"
88500,3,"[0.92497,0.93056,0.92214,0.79251,0.85757]"
90000,3,"[0.90282,0.93360,0.92467,0.81427,0.84248]"
91500,3,"[0.92296,0.93158,0.92164,0.80921,0.84147]"
93000,2,"[0.93505,0.94678,0.94135,0.82743,0.86814]"
94500,3,"[0.92800,0.94171,0.93731,0.83300,0.84348]"
96000,4,"[0.92699,0.94121,0.93327,0.78492,0.79467]"
97500,1,"[0.94612,0.94526,0.93680,0.83907,0.88022]"
99000,2,"[0.93152,0.95084,0.95147,0.84970,0.87921]"
100500,1,"[0.94310,0.95185,0.94692,0.85628,0.88676]"
