passo,acao,concat
0,3,"[0.21071,0.14632,0.14684,0.04688,0.04747]"
1500,3,"[0.59424,0.59284,0.60658,0.15927,0.16667]"
3000,3,"[0.63618,0.63169,0.64456,0.17893,0.19040]"
4500,0,"[0.58514,0.61049,0.62785,0.25101,0.24293]"
6000,4,"[0.69783,0.65590,0.66937,0.24647,0.26414]"
7500,3,"[0.74027,0.71796,0.71899,0.27621,0.27727]"
9000,2,"[0.76049,0.80827,0.76709,0.33871,0.33737]"
10500,2,"[0.90045,0.93138,0.91797,0.32611,0.32020]"
12000,3,"[0.99697,0.99950,0.99494,0.33720,0.30808]"
13500,2,"[1.00000,0.99950,0.99899,0.34425,0.33434]"
15000,3,"[0.99343,0.99445,1.00000,0.35333,0.31465]"
16500,0,"[0.98130,0.99950,1.00000,0.33216,0.34091]"
18000,2,"[1.00000,1.00000,1.00000,0.36593,0.32525]"
19500,3,"[1.00000,1.00000,1.00000,0.33821,0.33384]"
21000,3,"[1.00000,1.00000,1.00000,0.35081,0.34091]"
22500,4,"[1.00000,1.00000,1.00000,0.33518,0.32677]"
24000,2,"[1.00000,1.00000,1.00000,0.33921,0.33687]"
25500,3,"[1.00000,1.00000,1.00000,0.32661,0.33333]"
27000,0,"[1.00000,0.99798,1.00000,0.32056,0.33990]"
28500,1,"[1.00000,1.00000,1.00000,0.35938,0.35253]"
30000,3,"[1.00000,1.00000,1.00000,0.35837,0.32677]"
31500,0,"[0.99899,1.00000,0.99949,0.33115,0.33939]"
33000,2,"[1.00000,1.00000,1.00000,0.35030,0.34899]"
34500,4,"[1.00000,1.00000,1.00000,0.33871,0.36818]"
36000,3,"[1.00000,1.00000,1.00000,0.37198,0.35101]"
37500,2,"[1.00000,0.99950,0.99899,0.35585,0.37323]"
39000,1,"[1.00000,1.00000,1.00000,0.42036,0.37525]"
40500,0,"[0.99646,0.99950,0.98633,0.54486,0.40101]"
42000,2,"[1.00000,1.00000,0.99797,0.59929,0.45404]"
43500,0,"[0.98434,0.99950,0.99848,0.71976,0.51313]"
45000,4,"[1.00000,1.00000,1.00000,0.70716,0.51061]"
46500,4,"[1.00000,1.00000,1.00000,0.67238,0.50253]"
48000,4,"[1.00000,1.00000,1.00000,0.67440,0.49091]"
49500,0,"[0.99899,1.00000,0.99848,0.80192,0.61818]"
51000,3,"[1.00000,1.00000,1.00000,0.82056,0.63889]"
52500,2,"[1.00000,1.00000,1.00000,0.81552,0.68535]"
