passo,acao,concat
0,1,"[0.08723,0.21283,0.19711,0.07262,0.07388]"
1500,1,"[0.54314,0.58794,0.60118,0.16600,0.16080]"
3000,4,"[0.60186,0.58594,0.61499,0.20190,0.20164]"
4500,0,"[0.59193,0.57248,0.59121,0.25516,0.26835]"
6000,0,"[0.56710,0.57266,0.59882,0.28528,0.29471]"
7500,0,"[0.58924,0.56995,0.59697,0.31202,0.31604]"
9000,3,"[0.60619,0.58980,0.62699,0.31152,0.33218]"
10500,2,"[0.75687,0.71329,0.76344,0.31656,0.32696]"
12000,0,"[0.70980,0.67881,0.70896,0.33861,0.32965]"
13500,3,"[0.78894,0.74270,0.78726,0.33421,0.33101]"
15000,0,"[0.80808,0.78754,0.81156,0.32950,0.33692]"
16500,4,"[0.92632,0.91237,0.92500,0.33374,0.33626]"
18000,1,"[0.99646,0.99244,0.99713,0.32716,0.33693]"
19500,1,"[0.99966,0.99950,0.99949,0.33222,0.32683]"
21000,1,"[0.99949,0.99832,0.99899,0.33572,0.33370]"
22500,0,"[0.98651,0.99042,0.99158,0.34603,0.33067]"
24000,2,"[0.99966,0.99361,0.98784,0.34062,0.33657]"
25500,4,"[1.00000,0.99966,0.99983,0.33727,0.33541]"
27000,0,"[0.99225,0.99983,0.99983,0.35238,0.33355]"
28500,3,"[0.99949,0.99966,0.99966,0.33554,0.34515]"
30000,1,"[0.99377,0.99933,1.00000,0.34973,0.32631]"
31500,4,"[0.99983,1.00000,1.00000,0.34804,0.34277]"
33000,3,"[0.99949,1.00000,1.00000,0.34653,0.34815]"
34500,0,"[0.99208,0.99648,0.99680,0.35245,0.38105]"
36000,2,"[0.99983,1.00000,1.00000,0.36221,0.36914]"
37500,0,"[0.98097,0.99950,0.99949,0.40094,0.42484]"
39000,4,"[0.99983,1.00000,1.00000,0.39555,0.44296]"
40500,0,"[0.99949,0.99983,0.99949,0.41579,0.50066]"
42000,2,"[0.99949,1.00000,0.99983,0.41680,0.49665]"
43500,3,"[0.99461,1.00000,0.99933,0.44897,0.54951]"
45000,2,"[0.99983,1.00000,1.00000,0.44369,0.53676]"
46500,4,"[1.00000,0.99983,1.00000,0.45516,0.56946]"
48000,2,"[1.00000,1.00000,0.99983,0.44871,0.56393]"
49500,3,"[0.99966,0.99832,0.99798,0.49967,0.62153]"
51000,0,"[0.99899,0.99916,0.99932,0.54128,0.68421]"
52500,1,"[0.99966,1.00000,1.00000,0.52868,0.64640]"
54000,0,"[0.99815,0.99882,0.99983,0.59788,0.73216]"
55500,2,"[1.00000,0.99983,1.00000,0.58537,0.71839]"
57000,0,"[0.99916,0.99933,0.99983,0.67660,0.78871]"
58500,0,"[0.98871,0.99966,0.99461,0.69648,0.79644]"
60000,4,"[0.99983,1.00000,0.99983,0.71487,0.80620]"
61500,0,"[0.99983,0.99933,0.99933,0.73149,0.82586]"
63000,1,"[1.00000,1.00000,1.00000,0.71315,0.80692]"
64500,1,"[0.99848,0.99933,0.99983,0.69443,0.76670]"
66000,0,"[0.99949,0.99715,0.99815,0.75657,0.84069]"
67500,1,"[1.00000,1.00000,1.00000,0.73624,0.82171]"
69000,2,"[0.99983,1.00000,1.00000,0.71669,0.81181]"
70500,3,"[0.99983,0.99966,0.99983,0.78403,0.86023]"
72000,1,"[1.00000,0.99983,0.99949,0.75542,0.84862]"
73500,3,"[1.00000,0.99983,1.00000,0.80746,0.87757]"
75000,3,"[1.00000,1.00000,0.99966,0.81673,0.88916]"
76500,1,"[0.99983,1.00000,1.00000,0.80179,0.87037]"
78000,2,"[1.00000,1.00000,1.00000,0.78895,0.86180]"
79500,3,"[0.99983,1.00000,1.00000,0.82937,0.89661]"
81000,2,"[1.00000,1.00000,1.00000,0.79978,0.88450]"
82500,0,"[0.99949,0.99983,1.00000,0.84574,0.91375]"
84000,2,"[0.99983,1.00000,1.00000,0.83442,0.89158]"
85500,3,"[0.99966,0.99950,0.99949,0.85314,0.91074]"
87000,4,"[1.00000,1.00000,1.00000,0.86357,0.91477]"
88500,2,"[1.00000,1.00000,0.99966,0.82603,0.89629]"
90000,0,"[0.99882,0.99983,0.99983,0.86761,0.92756]"
91500,3,"[0.99916,0.99983,1.00000,0.85769,0.92267]"
93000,2,"[1.00000,1.00000,1.00000,0.84753,0.91141]"
94500,2,"[0.99966,1.00000,0.99983,0.83998,0.90319]"
96000,4,"[1.00000,1.00000,1.00000,0.86625,0.92772]"
97500,3,"[0.99983,0.99966,1.00000,0.88140,0.93680]"
99000,3,"[0.99983,0.99966,0.99966,0.87182,0.93630]"
100500,2,"[1.00000,1.00000,0.99966,0.86794,0.92705]"
