passo,acao,concat
0,0,"[0.07251,0.07299,0.04499,0.12230,0.11122]"
1500,0,"[0.48137,0.51698,0.53084,0.27126,0.26556]"
3000,0,"[0.52216,0.52391,0.52966,0.30989,0.32729]"
4500,0,"[0.51175,0.54621,0.53017,0.38225,0.42711]"
6000,0,"[0.50604,0.53438,0.53370,0.44838,0.49337]"
7500,0,"[0.50151,0.52424,0.54820,0.50641,0.55108]"
9000,0,"[0.50436,0.53675,0.54483,0.52750,0.59336]"
10500,0,"[0.50470,0.53472,0.54466,0.58198,0.64771]"
12000,0,"[0.49295,0.55229,0.56606,0.60999,0.67656]"
13500,0,"[0.50789,0.57070,0.59033,0.64693,0.69384]"
15000,0,"[0.49698,0.58490,0.60549,0.67392,0.70475]"
16500,0,"[0.49597,0.59165,0.61780,0.70175,0.72672]"
18000,0,"[0.50067,0.62392,0.64779,0.70985,0.73427]"
19500,0,"[0.49664,0.65585,0.67594,0.72284,0.74971]"
21000,0,"[0.49899,0.68289,0.69751,0.73600,0.74769]"
22500,0,"[0.49379,0.68711,0.71402,0.75219,0.74669]"
24000,0,"[0.50839,0.72799,0.73896,0.75877,0.75877]"
25500,0,"[0.50235,0.71414,0.73155,0.76366,0.76111]"
27000,0,"[0.50806,0.78071,0.76003,0.76316,0.76430]"
28500,0,"[0.50638,0.79861,0.77873,0.76653,0.76413]"
30000,0,"[0.51007,0.81399,0.81261,0.76400,0.77219]"
31500,0,"[0.52820,0.83629,0.81800,0.77041,0.78376]"
33000,0,"[0.55052,0.85487,0.86030,0.76552,0.79232]"
34500,0,"[0.57670,0.88224,0.87631,0.76805,0.80154]"
36000,0,"[0.62588,0.90083,0.89063,0.77834,0.81748]"
37500,0,"[0.66247,0.94425,0.89973,0.78357,0.83140]"
39000,0,"[0.67304,0.96452,0.97101,0.78846,0.84952]"
40500,0,"[0.68278,0.97787,0.97995,0.80398,0.87116]"
42000,0,"[0.66969,0.97635,0.97489,0.81697,0.87703]"
43500,0,"[0.68127,0.98479,0.98365,0.83704,0.88760]"
45000,0,"[0.68026,0.98260,0.98079,0.84599,0.90371]"
46500,0,"[0.67355,0.98936,0.98905,0.85493,0.90924]"
48000,0,"[0.68563,0.98598,0.98989,0.85914,0.92166]"
49500,0,"[0.67355,0.99121,0.98568,0.86522,0.92971]"
51000,0,"[0.67489,0.98953,0.98972,0.87331,0.93474]"
52500,0,"[0.67405,0.98969,0.99056,0.87989,0.93122]"
54000,0,"[0.67388,0.98868,0.99478,0.89069,0.94129]"
55500,0,"[0.67959,0.99527,0.99309,0.88445,0.94129]"
57000,0,"[0.68093,0.98936,0.99090,0.89423,0.94732]"
58500,0,"[0.67976,0.99257,0.99562,0.89760,0.95252]"
60000,0,"[0.69084,0.99257,0.99393,0.90486,0.95387]"
61500,0,"[0.68714,0.99223,0.99208,0.89659,0.95236]"
63000,0,"[0.68983,0.99561,0.99764,0.89777,0.94984]"
64500,0,"[0.69755,0.99240,0.99376,0.90351,0.94984]"
66000,0,"[0.69940,0.99409,0.99680,0.90924,0.95605]"
67500,0,"[0.70292,0.99679,0.99309,0.90739,0.95890]"
69000,0,"[0.69956,0.99476,0.99680,0.92139,0.96125]"
70500,0,"[0.68849,0.99493,0.99511,0.92308,0.95554]"
72000,0,"[0.70712,0.99510,0.99124,0.91903,0.96142]"
73500,0,"[0.70091,0.99628,0.99427,0.92257,0.95974]"
75000,0,"[0.71635,0.99713,0.99680,0.92696,0.96477]"
76500,0,"[0.72508,0.99747,0.99882,0.92696,0.96259]"
78000,0,"[0.73246,0.99358,0.99511,0.93067,0.96611]"
79500,0,"[0.74270,0.99679,0.99815,0.92763,0.96309]"
81000,0,"[0.76066,0.99848,0.99612,0.93067,0.96477]"
82500,0,"[0.77039,0.99747,0.99629,0.93607,0.97098]"
84000,0,"[0.79255,0.99358,0.99629,0.93472,0.97148]"
85500,0,"[0.81605,0.99713,0.99848,0.93607,0.97098]"
87000,0,"[0.83484,0.99628,0.99596,0.93387,0.97165]"
88500,0,"[0.85029,0.99848,0.99764,0.93640,0.97131]"
90000,0,"[0.84911,0.99358,0.99039,0.94484,0.97165]"
91500,0,"[0.87244,0.99595,0.99714,0.93607,0.97299]"
93000,0,"[0.87647,0.99730,0.99730,0.93708,0.97333]"
94500,0,"[0.89812,0.99713,0.99798,0.94703,0.97433]"
96000,0,"[0.88620,0.99882,0.99764,0.94366,0.97333]"
97500,0,"[0.91138,0.99797,0.99848,0.94298,0.97786]"
99000,0,"[0.90567,0.99679,0.99697,0.94163,0.97601]"
100500,0,"[0.91944,0.99696,0.99831,0.94349,0.97249]"
