passo,acao,concat
0,1,"[0.10098,0.08839,0.09549,0.10661,0.09873]"
1500,1,"[0.51948,0.58490,0.60339,0.20424,0.19840]"
3000,1,"[0.52234,0.61840,0.59313,0.27238,0.28017]"
4500,1,"[0.51308,0.64545,0.61196,0.32399,0.32795]"
6000,1,"[0.53298,0.66265,0.65309,0.32147,0.32742]"
7500,1,"[0.55425,0.74627,0.70246,0.34171,0.33382]"
9000,1,"[0.59407,0.82617,0.79684,0.33328,0.32509]"
10500,1,"[0.62884,0.91360,0.87833,0.33547,0.33432]"
12000,1,"[0.76039,0.97160,0.94959,0.32822,0.33383]"
13500,1,"[0.84027,0.98756,0.97126,0.34019,0.34208]"
15000,1,"[0.91532,0.99865,0.98958,0.33783,0.33384]"
16500,1,"[0.98161,0.99933,0.99278,0.32957,0.32172]"
18000,1,"[0.99157,0.99899,0.99462,0.33817,0.32810]"
19500,1,"[0.99916,0.99983,0.99546,0.33851,0.34123]"
21000,1,"[0.99966,0.99950,0.99933,0.33968,0.33164]"
22500,1,"[0.98734,0.99547,0.99512,0.34086,0.33804]"
24000,1,"[0.99966,0.99983,1.00000,0.34508,0.33383]"
25500,1,"[0.99713,0.99562,0.97971,0.34508,0.34528]"
27000,1,"[0.99916,0.99782,0.99933,0.33699,0.34527]"
28500,1,"[0.99831,0.97618,0.96681,0.32855,0.34191]"
30000,1,"[0.99865,0.99983,0.99799,0.35098,0.36311]"
31500,1,"[0.99680,0.99781,0.99950,0.37222,0.37284]"
33000,1,"[0.99848,0.99983,0.99933,0.40274,0.42378]"
34500,1,"[0.99815,0.99765,0.99865,0.42686,0.44107]"
36000,1,"[0.99966,0.99949,0.99765,0.44439,0.48294]"
37500,1,"[0.99966,1.00000,0.99933,0.48739,0.53274]"
39000,1,"[0.99949,1.00000,1.00000,0.55721,0.55880]"
40500,1,"[0.99865,0.99933,0.99966,0.59398,0.61941]"
42000,1,"[1.00000,0.99966,0.99966,0.63379,0.67595]"
43500,1,"[0.99916,0.99983,0.99950,0.66365,0.72442]"
45000,1,"[0.99983,0.99983,0.99983,0.69469,0.74781]"
46500,1,"[1.00000,0.99983,0.99983,0.70682,0.76969]"
48000,1,"[1.00000,1.00000,1.00000,0.73702,0.79140]"
49500,1,"[0.99966,0.99983,0.99966,0.75726,0.80487]"
51000,1,"[0.99983,1.00000,0.99950,0.77008,0.82390]"
52500,1,"[0.99966,1.00000,0.99950,0.78627,0.83218]"
54000,1,"[0.99983,1.00000,0.99966,0.79774,0.85069]"
55500,1,"[0.99983,1.00000,0.99983,0.80635,0.86163]"
57000,1,"[1.00000,1.00000,0.99950,0.81629,0.86382]"
58500,1,"[1.00000,0.99983,1.00000,0.82726,0.86987]"
60000,1,"[0.99983,0.99983,0.99983,0.83384,0.87072]"
61500,1,"[1.00000,1.00000,1.00000,0.84058,0.88419]"
63000,1,"[1.00000,1.00000,1.00000,0.84936,0.89378]"
64500,1,"[1.00000,0.99966,0.99983,0.86167,0.90254]"
66000,1,"[0.99966,0.99983,1.00000,0.85813,0.89042]"
67500,1,"[1.00000,0.99966,0.99983,0.85864,0.90692]"
69000,1,"[0.99983,0.99983,0.99950,0.86623,0.90693]"
70500,1,"[0.99966,1.00000,0.99983,0.88023,0.90421]"
72000,1,"[1.00000,0.99916,1.00000,0.87382,0.90996]"
73500,1,"[1.00000,0.99983,1.00000,0.87939,0.91432]"
75000,1,"[0.99983,0.99983,0.99966,0.88445,0.91685]"
76500,1,"[0.99983,1.00000,1.00000,0.87888,0.92122]"
78000,1,"[1.00000,1.00000,1.00000,0.89373,0.92409]"
79500,1,"[0.99983,0.99983,1.00000,0.88748,0.92476]"
81000,1,"[1.00000,1.00000,1.00000,0.89659,0.92897]"
82500,1,"[1.00000,1.00000,1.00000,0.89743,0.92661]"
84000,1,"[1.00000,0.99983,0.99933,0.89035,0.92981]"
85500,1,"[1.00000,0.99983,1.00000,0.90250,0.92728]"
87000,1,"[1.00000,0.99949,0.99983,0.89996,0.93318]"
88500,1,"[1.00000,1.00000,1.00000,0.89811,0.93789]"
90000,1,"[0.99983,1.00000,1.00000,0.90402,0.93840]"
91500,1,"[0.99983,1.00000,1.00000,0.91110,0.94328]"
93000,1,"[0.99983,1.00000,1.00000,0.91717,0.94075]"
94500,1,"[0.99983,0.99966,1.00000,0.91009,0.94009]"
96000,1,"[0.99966,1.00000,1.00000,0.91194,0.94277]"
97500,1,"[0.99983,0.99983,1.00000,0.91684,0.94917]"
99000,1,"[0.99983,0.99983,1.00000,0.92206,0.94648]"
100500,1,"[1.00000,1.00000,1.00000,0.91835,0.94496]"
