passo,acao,concat
0,4,"[0.32810,0.03582,0.03443,0.08026,0.06039]"
1500,4,"[0.49975,0.49899,0.48962,0.19637,0.19879]"
3000,4,"[0.49114,0.49495,0.50582,0.19334,0.19779]"
4500,4,"[0.49063,0.50807,0.50532,0.19182,0.19175]"
6000,4,"[0.50127,0.49798,0.51190,0.20798,0.18369]"
7500,4,"[0.50835,0.48940,0.48810,0.20646,0.20735]"
9000,4,"[0.49975,0.49596,0.51544,0.19031,0.21389]"
10500,4,"[0.50734,0.49495,0.48759,0.17971,0.19527]"
12000,4,"[0.50329,0.49193,0.48759,0.20192,0.19426]"
13500,4,"[0.49063,0.49899,0.49316,0.20444,0.17816]"
15000,4,"[0.47544,0.48940,0.50380,0.21757,0.19980]"
16500,4,"[0.48608,0.49395,0.51241,0.20596,0.20332]"
18000,4,"[0.51544,0.48739,0.50380,0.19939,0.19879]"
19500,4,"[0.50835,0.49092,0.47949,0.20596,0.21490]"
21000,4,"[0.52810,0.50656,0.49772,0.20697,0.20081]"
22500,4,"[0.50937,0.49243,0.50532,0.20141,0.20081]"
24000,4,"[0.50329,0.48587,0.50025,0.20141,0.21137]"
25500,4,"[0.50785,0.50252,0.49873,0.20040,0.19980]"
27000,4,"[0.51392,0.50807,0.50835,0.19939,0.20634]"
28500,4,"[0.49823,0.49899,0.50329,0.20293,0.19175]"
30000,4,"[0.50329,0.50000,0.50886,0.20091,0.19577]"
31500,4,"[0.50430,0.49546,0.49772,0.21252,0.20081]"
33000,4,"[0.50177,0.49193,0.49975,0.19384,0.18772]"
34500,4,"[0.49316,0.49798,0.50684,0.19738,0.19426]"
36000,4,"[0.50025,0.49445,0.50937,0.19384,0.18923]"
37500,4,"[0.49772,0.50050,0.49570,0.19031,0.19376]"
39000,4,"[0.50684,0.50757,0.49519,0.19637,0.20986]"
40500,4,"[0.49013,0.49596,0.50228,0.20343,0.20030]"
42000,4,"[0.50785,0.50605,0.51139,0.19485,0.20584]"
43500,4,"[0.50329,0.50050,0.49519,0.20444,0.20936]"
45000,4,"[0.50076,0.50000,0.51038,0.19384,0.20785]"
46500,4,"[0.48000,0.50353,0.50633,0.20747,0.19175]"
48000,4,"[0.50228,0.49344,0.49266,0.21151,0.19074]"
49500,4,"[0.50228,0.50605,0.51038,0.19132,0.21792]"
51000,4,"[0.50380,0.50858,0.49519,0.19536,0.20684]"
52500,4,"[0.51392,0.51261,0.49367,0.20242,0.21792]"
54000,4,"[0.50380,0.50151,0.50785,0.18274,0.21087]"
55500,4,"[0.49620,0.48789,0.48456,0.21201,0.19326]"
57000,4,"[0.49772,0.49495,0.48861,0.20444,0.18118]"
58500,4,"[0.50025,0.49697,0.48759,0.19132,0.21892]"
60000,4,"[0.48709,0.51009,0.51089,0.19435,0.21238]"
61500,4,"[0.49975,0.48940,0.50430,0.19132,0.20533]"
63000,4,"[0.49722,0.49798,0.49924,0.19435,0.20131]"
64500,4,"[0.49266,0.50757,0.49114,0.18677,0.19477]"
66000,4,"[0.50481,0.48890,0.49468,0.19788,0.20684]"
67500,4,"[0.47241,0.49596,0.48810,0.19536,0.20232]"
69000,4,"[0.48861,0.50101,0.50127,0.20141,0.20332]"
70500,4,"[0.49671,0.50656,0.50177,0.19939,0.20131]"
72000,4,"[0.48203,0.49041,0.50633,0.19738,0.21188]"
73500,4,"[0.50886,0.48133,0.50835,0.19334,0.20634]"
75000,4,"[0.49063,0.50706,0.51089,0.19788,0.21188]"
76500,4,"[0.51038,0.51514,0.51038,0.19990,0.21590]"
78000,4,"[0.49924,0.50454,0.49418,0.19687,0.21288]"
79500,4,"[0.49316,0.50202,0.49823,0.20394,0.19829]"
81000,4,"[0.48810,0.49748,0.51797,0.18829,0.20131]"
82500,4,"[0.49671,0.48840,0.50025,0.19788,0.20382]"
84000,4,"[0.49772,0.49395,0.49013,0.21454,0.18571]"
85500,4,"[0.49215,0.49243,0.50430,0.21050,0.19074]"
87000,4,"[0.48861,0.49849,0.49873,0.20747,0.20936]"
88500,4,"[0.49013,0.48486,0.50532,0.20646,0.20584]"
90000,4,"[0.49418,0.50555,0.50329,0.19939,0.19074]"
91500,4,"[0.49823,0.48840,0.50076,0.19738,0.19980]"
93000,4,"[0.50481,0.49041,0.50329,0.20848,0.19275]"
94500,4,"[0.48253,0.49647,0.49671,0.21201,0.19779]"
96000,4,"[0.49873,0.49142,0.48962,0.20495,0.18973]"
97500,4,"[0.49468,0.49041,0.50835,0.20040,0.18571]"
99000,4,"[0.48456,0.50252,0.49620,0.20040,0.18671]"
100500,4,"[0.49823,0.49647,0.50278,0.20444,0.19930]"
