passo,acao,concat
0,4,"[0.08119,0.22784,0.21420,0.06618,0.06856]"
1500,4,"[0.51606,0.59399,0.58822,0.18841,0.17740]"
3000,4,"[0.57648,0.59484,0.60932,0.24583,0.25456]"
4500,4,"[0.60491,0.62164,0.64880,0.30948,0.30577]"
6000,4,"[0.66301,0.65781,0.70174,0.32210,0.32800]"
7500,4,"[0.71578,0.76424,0.77626,0.33963,0.33254]"
9000,4,"[0.84406,0.89575,0.88031,0.34433,0.32616]"
10500,4,"[0.94410,0.94950,0.94394,0.33995,0.32918]"
12000,4,"[0.99379,0.99310,0.98955,0.33793,0.33423]"
13500,4,"[0.99916,0.99966,0.99832,0.34063,0.33759]"
15000,4,"[0.96699,0.99814,0.99241,0.33828,0.34132]"
16500,4,"[0.99916,0.99832,0.99933,0.34533,0.32850]"
18000,4,"[0.99731,0.99866,0.99763,0.35124,0.33744]"
19500,4,"[1.00000,1.00000,1.00000,0.34080,0.34367]"
21000,4,"[0.99966,0.99983,0.99272,0.33861,0.33559]"
22500,4,"[0.99966,0.99983,1.00000,0.34619,0.33945]"
24000,4,"[1.00000,1.00000,1.00000,0.33826,0.34063]"
25500,4,"[1.00000,1.00000,1.00000,0.33676,0.33777]"
27000,4,"[0.99983,1.00000,0.99865,0.34097,0.32918]"
28500,4,"[1.00000,1.00000,1.00000,0.35259,0.33659]"
30000,4,"[0.99950,1.00000,0.99950,0.34668,0.33811]"
31500,4,"[0.99983,0.97769,0.98705,0.33692,0.33778]"
33000,4,"[1.00000,1.00000,1.00000,0.34400,0.34788]"
34500,4,"[0.97905,0.99950,0.99966,0.33340,0.35361]"
36000,4,"[1.00000,1.00000,0.99949,0.35325,0.37180]"
37500,4,"[1.00000,0.99983,1.00000,0.35326,0.39877]"
39000,4,"[1.00000,1.00000,1.00000,0.35208,0.43466]"
40500,4,"[0.99983,1.00000,0.99983,0.35729,0.46616]"
42000,4,"[1.00000,1.00000,0.99983,0.35947,0.49985]"
43500,4,"[1.00000,1.00000,1.00000,0.38270,0.54163]"
45000,4,"[1.00000,1.00000,0.99983,0.41065,0.59688]"
46500,4,"[1.00000,1.00000,1.00000,0.46808,0.64690]"
48000,4,"[1.00000,1.00000,1.00000,0.53714,0.68397]"
49500,4,"[0.99983,1.00000,0.99983,0.59455,0.72642]"
51000,4,"[0.99983,1.00000,1.00000,0.63800,0.75152]"
52500,4,"[1.00000,1.00000,1.00000,0.68785,0.78419]"
54000,4,"[0.99933,0.99983,1.00000,0.70772,0.79867]"
55500,4,"[1.00000,1.00000,1.00000,0.73669,0.82276]"
57000,4,"[0.99983,0.99983,1.00000,0.75169,0.83439]"
58500,4,"[1.00000,1.00000,1.00000,0.76061,0.84821]"
60000,4,"[0.99950,1.00000,1.00000,0.77559,0.85277]"
61500,4,"[1.00000,1.00000,0.99983,0.78571,0.86287]"
63000,4,"[1.00000,1.00000,0.99983,0.80455,0.87955]"
64500,4,"[1.00000,1.00000,1.00000,0.80608,0.88612]"
66000,4,"[0.99983,1.00000,1.00000,0.80405,0.88949]"
67500,4,"[0.99933,1.00000,1.00000,0.81550,0.89084]"
69000,4,"[0.99966,0.99983,1.00000,0.81299,0.89606]"
70500,4,"[0.99966,0.99983,0.99983,0.82661,0.89387]"
72000,4,"[0.99983,1.00000,1.00000,0.83755,0.90263]"
73500,4,"[1.00000,1.00000,1.00000,0.83233,0.90852]"
75000,4,"[1.00000,0.99966,1.00000,0.85086,0.91459]"
76500,4,"[1.00000,1.00000,0.99966,0.83503,0.91004]"
78000,4,"[1.00000,1.00000,1.00000,0.84580,0.91678]"
79500,4,"[1.00000,1.00000,0.99983,0.84362,0.90802]"
81000,4,"[1.00000,1.00000,0.99983,0.84125,0.91661]"
82500,4,"[0.99983,0.99983,1.00000,0.85118,0.91930]"
84000,4,"[0.99966,0.99983,0.99983,0.84379,0.92065]"
85500,4,"[1.00000,1.00000,0.99983,0.86028,0.92419]"
87000,4,"[1.00000,1.00000,1.00000,0.87022,0.93144]"
88500,4,"[0.99983,1.00000,1.00000,0.86752,0.93380]"
90000,4,"[0.99983,0.99966,1.00000,0.86230,0.93026]"
91500,4,"[0.99983,0.99950,0.99983,0.86904,0.92739]"
93000,4,"[1.00000,1.00000,1.00000,0.86751,0.93161]"
94500,4,"[0.99966,1.00000,1.00000,0.86128,0.93043]"
96000,4,"[1.00000,1.00000,1.00000,0.86837,0.93767]"
97500,4,"[1.00000,1.00000,1.00000,0.87207,0.93834]"
99000,4,"[1.00000,1.00000,1.00000,0.87880,0.94171]"
100500,4,"[1.00000,1.00000,1.00000,0.87661,0.94087]"
